"id","code","name"
"question_cat_1_1","cat_1_1","¿Qué tan claras fueron nuestras comunicaciones con usted? siendo el 1 nada claras, y el 10 completamente claras. *"
"question_cat_1_2","cat_1_2","¿Qué nivel de conocimiento tiene usted sobre los movimientos internos que llegan a afectar sus campañas? siendo el 1 nada informado, y el 10 completamente informado. *"
"question_cat_1_3","cat_1_3","¿Cómo califica la comunicación con el Responsable de Operaciones? siendo el 1 mala comunicación, y el 10 muy buena comunicación. *"
"question_cat_1_4","cat_1_4","¿Desea hacer un comentario sobre el tema de Comunicación?"
"question_cat_2_1","cat_2_1","¿Qué nivel de atención a soluciones recibe del Responsable de Operaciones? siendo el 1 pésima atención, y el 10 excelente atención. *"
"question_cat_2_2","cat_2_2","¿Qué nivel de atención a soluciones recibe del Gerente de Sitio? siendo el 1 pésima atención, y el 10 excelente atención. *"
"question_cat_2_3","cat_2_3","¿Desea hacer algún comentario sobre el tema de atención?"
"question_cat_3_1","cat_3_1","Podría evaluar el desempeño del personal del área de Operaciones hablando de cumplimiento de objetivos, siendo el 1 bajo desempeño, y el 10 excelente desempeño. *"
"question_cat_3_2","cat_3_2","Podría evaluar el desempeño del personal de Calidad hablando de cumplimiento de objetivos, siendo el 1 bajo desempeño, y el 10 excelente desempeño. *"
"question_cat_3_3","cat_3_3","Podría evaluar el desempeño del personal de Reclutamiento hablando de cumplimiento de objetivos, siendo el 1 bajo desempeño, y el 10 excelente desempeño. *"
"question_cat_3_4","cat_3_4","¿Desea hacer algún comentario sobre el tema de desempeño?"
"question_cat_4_1","cat_4_1","¿Con qué nivel de puntualidad recibe las facturas? siendo el 1 nada puntual, y el 10 muy puntual. *"
"question_cat_4_2","cat_4_2","¿Qué tan rápido respondemos ante los problemas? siendo el 1 muy lento, y el 10 completamente rápido. *"
"question_cat_4_3","cat_4_3","¿Desea hacer algún comentario sobre el tema de eficiencia?"
"question_cat_5_1","cat_5_1","Podría calificar el funcionamiento de los aplicativos internos para el buen manejo de su información en términos de seguridad, siendo el 1 nada seguro, y el 10 completamente seguro. *"
"question_cat_5_2","cat_5_2","Podría calificar el funcionamiento de los aplicativos internos para el buen manejo de su información en términos de rapidez, siendo el 1 muy lento, y el 10 completamente rápido. *"
"question_cat_5_3","cat_5_3","Podría calificar el funcionamiento de los aplicativos internos para el buen manejo de su información en términos de diseño e imagen, siendo el 1 nada estético, y el 10 muy estético. *"
"question_cat_5_4","cat_5_4","¿Desea hacer algún comentario sobre el tema de Seguridad y TI?"
"question_cat_6_1","cat_6_1","Podría calificar nuestras instalaciones en función de imagen, siendo el 1 nada estético, y el 10 muy estético. *"
"question_cat_6_2","cat_6_2","Podría calificar nuestras instalaciones en función de comodidad, siendo el 1 nada cómodo, y el 10 muy cómodo. *"
"question_cat_6_3","cat_6_3","¿Desea hacer algún comentario sobre el tema de Mantenimiento?"
"question_cat_7_1","cat_7_1","¿Cuáles son las probabilidades de que nos recomiende con otras empresas?, siendo el 1 nada de probabilidad, y el 10 muy probable. *"
"question_cat_7_2","cat_7_2","¿Cuáles son las probabilidades de que realice actividades comerciales con nosotros en un futuro? siendo el 1 nada de probabilidad, y el 10 extremadamente probable. *"
"question_cat_7_3","cat_7_3","Califique la calidad general de nuestros servicios*"
"question_cat_7_4","cat_7_4","Podría hacer algún comentario sobre nuestros servicios con el fin de mejorar"
